	Temps [s]	T1MID [°C]	
280	20,512	79,008	
281	20,612	78,595	
282	20,712	78,182	
283	20,812	77,771	
284	20,912	77,362	
285	21,012	76,957	
286	21,112	76,555	
287	21,212	76,157	
288	21,312	75,764	
289	21,412	75,376	
290	21,512	74,994	
291	21,612	74,618	
292	21,712	74,247	
293	21,812	73,883	
294	21,912	73,524	
295	22,012	73,172	
296	22,112	72,826	
297	22,212	72,487	
298	22,312	72,154	
299	22,412	71,827	
300	22,512	71,506	
301	22,612	71,191	
302	22,712	70,883	
303	22,812	70,58	
304	22,912	70,284	
305	22,978	70,089	
306	23,045	69,897	
307	23,046	69,894	
308	23,047	69,891	
309	23,05	69,882	
310	23,055	69,868	
311	23,06	69,853	
312	23,065	69,839	
313	23,07	69,825	
314	23,075	69,81	
315	23,08	69,796	
316	23,085	69,782	
317	23,09	69,767	
318	23,095	69,753	
319	23,1	69,739	
320	23,105	69,725	
321	23,11	69,71	
322	23,115	69,696	
323	23,12	69,682	
324	23,125	69,668	
325	23,13	69,654	
326	23,13	69,653	
327	23,13	69,653	
328	23,13	69,653	
329	23,131	69,652	
330	23,132	69,649	
331	23,133	69,646	
332	23,134	69,643	
333	23,135	69,64	
334	23,136	69,637	
335	23,137	69,635	
336	23,138	69,632	
337	23,139	69,629	
338	23,14	69,626	
339	23,141	69,623	
340	23,142	69,62	
341	23,143	69,618	
342	23,144	69,615	
343	23,145	69,612	
344	23,146	69,609	
345	23,147	69,606	
346	23,148	69,604	
347	23,149	69,601	
348	23,15	69,598	
349	23,151	69,595	
350	23,152	69,592	
351	23,153	69,59	
352	23,154	69,587	
353	23,155	69,584	
354	23,156	69,581	
355	23,157	69,578	
356	23,158	69,576	
357	23,159	69,573	
358	23,16	69,57	
359	23,161	69,567	
360	23,162	69,564	
361	23,163	69,562	
362	23,164	69,559	
363	23,165	69,556	
364	23,166	69,553	
365	23,167	69,55	
366	23,168	69,548	
367	23,169	69,545	
368	23,17	69,542	
369	23,171	69,539	
370	23,172	69,536	
371	23,173	69,534	
372	23,174	69,531	
373	23,175	69,528	
374	23,176	69,525	
375	23,177	69,523	
376	23,178	69,52	
377	23,179	69,517	
378	23,18	69,514	
379	23,181	69,512	
380	23,182	69,509	
381	23,183	69,506	
382	23,184	69,503	
383	23,185	69,501	
384	23,186	69,498	
385	23,187	69,495	
386	23,188	69,492	
387	23,189	69,49	
388	23,19	69,487	
389	23,191	69,484	
390	23,192	69,481	
391	23,193	69,479	
392	23,194	69,476	
393	23,195	69,473	
394	23,196	69,471	
395	23,197	69,468	
396	23,198	69,465	
397	23,199	69,462	
398	23,2	69,46	
399	23,201	69,457	
400	23,202	69,454	
401	23,203	69,452	
402	23,204	69,449	
403	23,205	69,446	
404	23,206	69,444	
405	23,207	69,441	
406	23,208	69,438	
407	23,209	69,436	
408	23,21	69,433	
409	23,211	69,43	
410	23,212	69,428	
411	23,213	69,425	
412	23,214	69,422	
413	23,215	69,42	
414	23,216	69,417	
415	23,217	69,414	
416	23,218	69,412	
417	23,219	69,409	
418	23,22	69,407	
419	23,221	69,404	
420	23,222	69,401	
421	23,223	69,399	
422	23,224	69,396	
423	23,225	69,394	
424	23,226	69,391	
425	23,227	69,389	
426	23,228	69,386	
427	23,229	69,383	
428	23,23	69,381	
429	23,231	69,378	
430	23,232	69,376	
431	23,233	69,373	
432	23,234	69,371	
433	23,235	69,368	
434	23,236	69,366	
435	23,237	69,363	
436	23,238	69,361	
437	23,239	69,358	
438	23,24	69,356	
439	23,24	69,354	
440	23,241	69,353	
441	23,341	69,34	
442	23,441	69,62	
443	23,541	70,184	
444	23,641	70,981	
445	23,741	71,941	
446	23,841	72,999	
447	23,941	74,094	
448	24,041	75,183	
449	24,141	76,231	
450	24,241	77,215	
451	24,341	78,12	
452	24,441	78,935	
453	24,541	79,658	
454	24,641	80,287	
455	24,741	80,826	
456	24,841	81,278	
457	24,941	81,647	
