	Time [s]	T_couche2supp [°C]	
289	11,264	89,164	
290	11,269	89,12	
291	11,274	89,075	
292	11,279	89,031	
293	11,284	88,986	
294	11,289	88,942	
295	11,294	88,898	
296	11,299	88,853	
297	11,304	88,809	
298	11,309	88,765	
299	11,314	88,721	
300	11,319	88,677	
301	11,324	88,633	
302	11,329	88,589	
303	11,334	88,545	
304	11,339	88,501	
305	11,344	88,457	
306	11,349	88,413	
307	11,354	88,369	
308	11,359	88,325	
309	11,364	88,282	
310	11,369	88,238	
311	11,374	88,194	
312	11,379	88,151	
313	11,384	88,107	
314	11,389	88,064	
315	11,394	88,02	
316	11,399	87,977	
317	11,404	87,933	
318	11,409	87,89	
319	11,414	87,847	
320	11,419	87,803	
321	11,424	87,76	
322	11,429	87,717	
323	11,434	87,674	
324	11,439	87,631	
325	11,444	87,587	
326	11,449	87,544	
327	11,454	87,501	
328	11,459	87,458	
329	11,464	87,416	
330	11,469	87,373	
331	11,474	87,33	
332	11,479	87,287	
333	11,484	87,244	
334	11,489	87,202	
335	11,494	87,159	
336	11,499	87,116	
337	11,504	87,074	
338	11,509	87,031	
339	11,514	86,989	
340	11,519	86,946	
341	11,524	86,904	
342	11,529	86,861	
343	11,534	86,819	
344	11,539	86,777	
345	11,544	86,734	
346	11,549	86,692	
347	11,554	86,65	
348	11,559	86,608	
349	11,564	86,566	
350	11,569	86,523	
351	11,574	86,481	
352	11,579	86,439	
353	11,584	86,397	
354	11,589	86,356	
355	11,594	86,314	
356	11,599	86,272	
357	11,604	86,23	
358	11,609	86,188	
359	11,614	86,147	
360	11,619	86,105	
361	11,624	86,063	
362	11,629	86,022	
363	11,634	85,98	
364	11,639	85,939	
365	11,644	85,897	
366	11,649	85,856	
367	11,654	85,814	
368	11,659	85,773	
369	11,664	85,732	
370	11,669	85,69	
371	11,674	85,649	
372	11,679	85,608	
373	11,684	85,567	
374	11,689	85,526	
375	11,694	85,484	
376	11,699	85,443	
377	11,704	85,402	
378	11,709	85,361	
379	11,714	85,32	
380	11,719	85,28	
381	11,724	85,239	
382	11,729	85,198	
383	11,734	85,157	
384	11,739	85,116	
385	11,744	85,076	
386	11,749	85,035	
387	11,754	84,994	
388	11,759	84,954	
389	11,764	84,913	
390	11,769	84,873	
391	11,774	84,832	
392	11,779	84,792	
393	11,784	84,751	
394	11,789	84,711	
395	11,794	84,671	
396	11,799	84,63	
397	11,804	84,59	
398	11,809	84,55	
399	11,814	84,51	
400	11,819	84,47	
401	11,824	84,43	
402	11,829	84,39	
403	11,834	84,35	
404	11,839	84,31	
405	11,844	84,27	
406	11,849	84,23	
407	11,854	84,19	
408	11,859	84,15	
409	11,864	84,11	
410	11,869	84,071	
411	11,874	84,031	
412	11,879	83,991	
413	11,884	83,952	
414	11,889	83,912	
415	11,894	83,872	
416	11,899	83,833	
417	11,904	83,793	
418	11,909	83,754	
419	11,914	83,715	
420	11,919	95,048	
421	11,924	102,27	
422	11,929	107,3	
423	11,934	111,21	
424	11,939	114,48	
425	11,944	117,38	
426	11,949	120,02	
427	11,954	122,47	
428	11,959	124,77	
429	11,964	126,95	
430	11,969	129,04	
431	11,974	131,03	
432	11,979	132,94	
433	11,984	134,79	
434	11,989	136,57	
435	11,994	138,3	
436	11,999	139,97	
437	12,002	140,96	
438	12,002	210,	
439	12,002	210,	
440	12,002	210,	
441	12,002	210,	
442	12,002	210,	
443	12,003	210,	
444	12,003	210,	
445	12,003	210,	
446	12,003	210,	
447	12,003	210,	
448	12,053	181,2	
449	12,103	162,33	
450	12,153	149,34	
451	12,203	139,99	
452	12,253	133,21	
453	12,303	127,95	
454	12,353	123,72	
455	12,403	120,23	
456	12,453	117,28	
457	12,503	114,74	
458	12,553	112,52	
459	12,603	110,55	
460	12,653	108,79	
461	12,703	107,2	
462	12,753	105,75	
463	12,803	104,41	
464	12,853	103,18	
465	12,903	102,04	
466	12,953	100,98	
467	13,003	99,975	
468	13,053	99,033	
469	13,103	98,141	
470	13,153	97,296	
471	13,203	96,49	
472	13,253	95,722	
473	13,303	94,985	
474	13,353	94,278	
475	13,403	93,598	
476	13,453	92,942	
477	13,503	92,307	
478	13,553	91,693	
479	13,603	91,097	
480	13,653	90,519	
481	13,703	89,956	
482	13,753	89,407	
483	13,803	88,873	
484	13,853	88,35	
485	13,903	87,84	
486	13,953	87,341	
487	14,003	86,852	
488	14,053	86,373	
489	14,103	85,903	
490	14,153	85,442	
491	14,203	84,99	
492	14,253	84,546	
493	14,303	84,109	
494	14,353	83,68	
495	14,403	83,258	
496	14,453	82,843	
497	14,503	82,434	
498	14,553	82,032	
499	14,603	81,636	
500	14,653	81,245	
501	14,703	80,861	
502	14,753	80,482	
503	14,803	80,109	
504	14,853	79,741	
505	14,903	79,379	
506	14,953	79,021	
507	15,003	78,668	
508	15,053	78,321	
509	15,103	77,978	
510	15,153	77,639	
511	15,203	77,306	
512	15,253	76,976	
513	15,303	76,651	
514	15,353	76,331	
515	15,403	76,015	
516	15,453	75,702	
517	15,503	75,394	
518	15,553	75,09	
519	15,603	74,79	
520	15,653	74,494	
521	15,703	74,202	
522	15,753	73,913	
523	15,803	73,628	
524	15,853	73,347	
525	15,903	73,069	
526	15,953	72,795	
527	16,003	72,525	
528	16,053	72,258	
529	16,103	71,994	
530	16,153	71,734	
531	16,203	71,477	
532	16,253	71,223	
533	16,303	70,972	
534	16,353	70,725	
535	16,403	70,48	
536	16,453	70,239	
537	16,503	70,001	
538	16,553	69,766	
539	16,603	69,534	
540	16,653	69,306	
541	16,703	69,08	
542	16,753	68,858	
543	16,803	68,638	
544	16,853	68,42	
545	16,903	68,206	
546	16,953	67,994	
547	17,003	67,785	
548	17,053	67,578	
549	17,103	67,374	
550	17,153	67,173	
551	17,203	66,974	
552	17,253	66,777	
553	17,303	66,583	
554	17,353	66,391	
555	17,403	66,202	
556	17,453	66,015	
557	17,503	65,83	
558	17,553	65,648	
559	17,603	65,467	
560	17,653	65,289	
561	17,703	65,114	
562	17,753	64,94	
563	17,803	64,769	
564	17,853	64,599	
565	17,903	64,432	
566	17,953	64,267	
567	18,003	64,104	
