	Time [s]	T_couche_0,3mm_milieu_couche1 [°C]	
1	1,e-004	210,	
2	2,e-004	210,	
3	3,e-004	210,	
4	4,2908e-004	210,	
5	6,2918e-004	210,	
6	8,1459e-004	210,	
7	1,e-003	210,	
8	5,1e-002	203,95	
9	6,7667e-002	201,12	
10	7,8531e-002	198,92	
11	8,9395e-002	196,37	
12	0,10179	193,03	
13	0,12762	184,87	
14	0,15587	175,17	
15	0,18945	163,44	
16	0,23232	149,14	
17	0,28962	132,18	
18	0,35399	116,13	
19	0,42436	101,91	
20	0,50595	89,163	
21	0,6067	77,78	
22	0,74119	67,847	
23	0,94161	59,669	
24	1,2416	54,186	
25	1,5416	51,741	
26	1,8416	51,296	
27	2,1416	51,207	
28	2,4416	51,171	
29	2,7416	51,156	
30	3,0416	51,151	
31	3,3416	51,148	
32	3,6416	51,147	
33	3,9416	51,147	
34	4,2416	51,146	
35	4,5416	51,146	
36	4,8416	51,146	
37	5,1416	51,146	
38	5,4416	51,146	
39	5,7416	51,146	
40	6,001	51,146	
41	6,0011	51,27	
42	6,0012	51,394	
43	6,0015	51,762	
44	6,002	52,372	
45	6,003	53,563	
46	6,004	54,727	
47	6,007	57,991	
48	6,012	62,859	
49	6,017	67,212	
50	6,022	71,101	
51	6,027	74,571	
52	6,032	77,723	
53	6,037	80,626	
54	6,042	83,262	
55	6,047	85,7	
56	6,052	87,889	
57	6,057	89,854	
58	6,062	91,612	
59	6,067	93,181	
60	6,072	94,58	
61	6,077	95,822	
62	6,082	96,921	
63	6,087	97,892	
64	6,092	98,744	
65	6,097	99,489	
66	6,1	99,9	
67	6,15	101,66	
68	6,2	100,91	
69	6,2889	97,065	
70	6,3946	91,93	
71	6,5195	86,863	
72	6,6703	81,364	
73	6,8559	75,639	
74	7,0925	69,852	
75	7,3925	64,417	
76	7,6925	60,414	
77	7,9925	57,475	
78	8,2925	55,321	
79	8,5925	53,745	
80	8,8925	52,609	
81	9,1925	51,85	
82	9,4925	51,606	
83	9,7925	51,44	
84	10,093	51,327	
85	10,393	51,249	
86	10,693	51,196	
87	10,846	51,174	
88	11,	51,156	
89	11,001	51,156	
90	11,002	51,156	
91	11,005	51,155	
92	11,01	51,155	
93	11,015	51,154	
94	11,02	51,154	
95	11,025	51,153	
96	11,03	51,153	
97	11,035	51,152	
98	11,04	51,152	
99	11,045	51,151	
100	11,05	51,15	
101	11,055	51,15	
102	11,06	51,149	
103	11,065	51,149	
104	11,07	51,148	
105	11,075	51,148	
106	11,08	51,147	
107	11,085	51,147	
108	11,09	51,146	
109	11,095	51,146	
110	11,1	51,145	
111	11,105	51,145	
112	11,11	51,144	
113	11,115	51,144	
114	11,12	51,143	
115	11,125	51,143	
116	11,13	51,142	
117	11,135	51,142	
118	11,14	51,141	
119	11,145	51,141	
120	11,15	51,14	
121	11,155	51,14	
122	11,16	51,14	
123	11,165	51,139	
124	11,17	51,139	
125	11,175	51,138	
126	11,18	51,138	
127	11,185	51,137	
128	11,19	51,137	
129	11,195	51,136	
130	11,2	51,136	
131	11,205	51,136	
132	11,21	51,135	
133	11,215	51,135	
134	11,22	51,134	
135	11,225	51,134	
136	11,23	51,134	
137	11,235	51,133	
138	11,24	51,133	
139	11,245	51,132	
140	11,25	51,132	
141	11,255	51,132	
142	11,26	51,131	
143	11,265	51,131	
144	11,27	51,13	
145	11,275	51,13	
146	11,28	51,13	
147	11,285	51,129	
148	11,29	51,129	
149	11,295	51,128	
150	11,3	51,128	
151	11,305	51,128	
152	11,31	51,127	
153	11,315	51,127	
154	11,32	51,127	
155	11,325	51,126	
156	11,33	51,126	
157	11,335	51,126	
158	11,34	51,125	
159	11,345	51,125	
160	11,35	51,125	
161	11,355	51,124	
162	11,36	51,124	
163	11,365	51,124	
164	11,37	51,123	
165	11,375	51,123	
166	11,38	51,123	
167	11,385	51,122	
168	11,39	51,122	
169	11,395	51,122	
170	11,4	51,121	
171	11,405	51,121	
172	11,41	51,121	
173	11,415	51,12	
174	11,42	51,12	
175	11,425	51,12	
176	11,43	51,119	
177	11,435	51,119	
178	11,44	51,119	
179	11,445	51,119	
180	11,45	51,118	
181	11,455	51,118	
182	11,46	51,118	
183	11,465	51,117	
184	11,47	51,117	
185	11,475	51,117	
186	11,48	51,117	
187	11,485	51,116	
188	11,49	51,116	
189	11,495	51,116	
190	11,5	51,115	
191	11,505	51,115	
192	11,51	51,115	
193	11,515	51,115	
194	11,52	51,114	
195	11,525	51,114	
196	11,53	51,114	
197	11,535	51,114	
198	11,54	51,113	
199	11,545	51,113	
200	11,55	51,113	
201	11,555	51,113	
202	11,56	51,112	
203	11,565	51,112	
204	11,57	51,112	
205	11,575	51,112	
206	11,58	51,111	
207	11,585	51,111	
208	11,59	51,111	
209	11,595	51,111	
210	11,6	51,11	
211	11,605	51,11	
212	11,61	51,11	
213	11,615	51,11	
214	11,62	51,109	
215	11,625	51,109	
216	11,63	51,109	
217	11,635	51,109	
218	11,64	51,109	
219	11,645	51,108	
220	11,65	51,108	
221	11,655	51,108	
222	11,66	51,108	
223	11,665	51,107	
224	11,67	51,107	
225	11,675	51,107	
226	11,68	51,107	
227	11,685	51,107	
228	11,69	51,106	
229	11,695	51,106	
230	11,7	51,106	
231	11,705	51,106	
232	11,71	51,106	
233	11,715	51,105	
234	11,72	51,105	
235	11,725	51,105	
236	11,73	51,105	
237	11,735	51,105	
238	11,74	51,104	
239	11,745	51,104	
240	11,75	51,104	
241	11,755	51,104	
242	11,76	51,104	
243	11,765	51,104	
244	11,77	51,103	
245	11,775	51,103	
246	11,78	51,103	
247	11,785	51,103	
248	11,79	51,103	
249	11,795	51,102	
250	11,8	51,102	
251	11,805	51,102	
252	11,81	51,102	
253	11,815	51,102	
254	11,82	51,102	
255	11,825	51,101	
256	11,83	51,101	
257	11,835	51,101	
258	11,84	51,101	
259	11,845	51,101	
260	11,85	51,101	
261	11,855	51,1	
262	11,86	51,1	
263	11,865	51,1	
264	11,87	51,1	
265	11,875	51,1	
266	11,88	51,1	
267	11,885	51,1	
268	11,89	51,099	
269	11,895	51,099	
270	11,9	51,099	
271	11,905	51,099	
272	11,91	51,099	
273	11,915	51,099	
274	11,92	51,098	
275	11,925	51,098	
276	11,93	51,098	
277	11,935	51,098	
278	11,94	51,098	
279	11,945	51,098	
280	11,95	51,098	
281	11,955	51,098	
282	11,96	51,097	
283	11,965	51,097	
284	11,97	51,097	
285	11,975	51,097	
286	11,98	51,097	
287	11,985	51,097	
288	11,99	51,097	
289	11,995	51,096	
290	12,	51,096	
291	12,002	51,096	
292	12,002	51,096	
293	12,002	51,096	
294	12,002	51,096	
295	12,003	51,097	
296	12,053	53,374	
297	12,07	54,31	
298	12,086	55,358	
299	12,105	56,613	
300	12,152	59,453	
301	12,217	62,495	
