	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
62	6,082	50,	205,11	108,32	
63	6,087	50,	204,47	108,02	
64	6,092	50,	203,8	107,71	
65	6,097	50,	203,1	107,4	
66	6,1	50,	202,66	107,21	
67	6,15	50,	194,41	103,92	
68	6,2	50,	185,99	100,68	
69	6,2889	50,	172,12	95,349	
70	6,3946	50,	157,67	89,738	
71	6,5195	50,	143,01	84,04	
72	6,6703	50,	128,29	78,323	
73	6,8559	50,	113,63	72,703	
74	7,0925	50,	99,152	67,284	
75	7,3925	50,	85,672	62,406	
76	7,6925	50,	75,765	58,941	
77	7,9925	50,	68,491	56,48	
78	8,2925	50,	63,155	54,731	
79	8,5925	50,	63,	53,488	
80	8,8925	50,	63,	52,605	
81	9,1925	50,	63,	51,977	
82	9,4925	50,	63,	51,531	
83	9,7925	50,	63,	51,213	
84	10,093	50,	63,	50,987	
85	10,393	50,	63,	50,826	
86	10,693	49,805	63,	50,712	
87	10,846	49,626	63,	50,664	
88	11,	49,474	63,	50,623	
89	11,001	49,473	63,	50,623	
90	11,002	49,472	63,	50,623	
91	11,005	49,469	63,	50,622	
92	11,01	49,464	63,	50,621	
93	11,015	49,459	63,	50,62	
94	11,02	49,454	63,	50,618	
95	11,025	49,449	63,	50,617	
96	11,03	49,445	63,	50,616	
97	11,035	49,44	63,	50,615	
98	11,04	49,435	63,	50,613	
99	11,045	49,431	63,	50,612	
100	11,05	49,426	63,	50,611	
101	11,055	49,421	63,	50,61	
102	11,06	49,417	63,	50,608	
103	11,065	49,412	63,	50,607	
104	11,07	49,408	63,	50,606	
105	11,075	49,403	63,	50,605	
106	11,08	49,399	63,	50,604	
107	11,085	49,394	63,	50,602	
108	11,09	49,39	63,	50,601	
109	11,095	49,385	63,	50,6	
110	11,1	49,381	63,	50,599	
111	11,105	49,377	63,	50,598	
112	11,11	49,372	63,	50,597	
113	11,115	49,368	63,	50,596	
114	11,12	49,364	63,	50,595	
115	11,125	49,36	63,	50,593	
116	11,13	49,355	63,	50,592	
117	11,135	49,351	63,	50,591	
118	11,14	49,347	63,	50,59	
119	11,145	49,343	63,	50,589	
120	11,15	49,339	63,	50,588	
121	11,155	49,335	63,	50,587	
122	11,16	49,331	63,	50,586	
123	11,165	49,327	63,	50,585	
124	11,17	49,323	63,	50,584	
125	11,175	49,319	63,	50,583	
126	11,18	49,315	63,	50,582	
127	11,185	49,311	63,	50,581	
128	11,19	49,307	63,	50,58	
129	11,195	49,303	63,	50,579	
130	11,2	49,299	63,	50,578	
131	11,205	49,295	63,	50,577	
132	11,21	49,291	63,	50,576	
133	11,215	49,288	63,	50,575	
134	11,22	49,284	63,	50,574	
135	11,225	49,28	63,	50,573	
136	11,23	49,276	63,	50,572	
137	11,235	49,273	63,	50,571	
138	11,24	49,269	63,	50,57	
139	11,245	49,265	63,	50,569	
140	11,25	49,262	63,	50,568	
141	11,255	49,258	63,	50,567	
142	11,26	49,255	63,	50,566	
143	11,265	49,251	63,	50,565	
144	11,27	49,248	63,	50,564	
145	11,275	49,244	63,	50,564	
146	11,28	49,241	63,	50,563	
147	11,285	49,237	63,	50,562	
148	11,29	49,234	63,	50,561	
149	11,295	49,23	63,	50,56	
150	11,3	49,227	63,	50,559	
151	11,305	49,223	63,	50,558	
152	11,31	49,22	63,	50,557	
153	11,315	49,217	63,	50,557	
154	11,32	49,213	63,	50,556	
155	11,325	49,21	63,	50,555	
156	11,33	49,207	63,	50,554	
157	11,335	49,204	63,	50,553	
158	11,34	49,2	63,	50,552	
159	11,345	49,197	63,	50,552	
160	11,35	49,194	63,	50,551	
161	11,355	49,191	63,	50,55	
162	11,36	49,188	63,	50,549	
163	11,365	49,185	63,	50,548	
164	11,37	49,181	63,	50,548	
165	11,375	49,178	63,	50,547	
166	11,38	49,175	63,	50,546	
167	11,385	49,172	63,	50,545	
168	11,39	49,169	63,	50,544	
169	11,395	49,166	63,	50,544	
170	11,4	49,163	63,	50,543	
171	11,405	49,16	63,	50,542	
172	11,41	49,157	63,	50,541	
173	11,415	49,154	63,	50,541	
174	11,42	49,151	63,	50,54	
175	11,425	49,148	63,	50,539	
176	11,43	49,146	63,	50,538	
177	11,435	49,143	63,	50,538	
178	11,44	49,14	63,	50,537	
179	11,445	49,137	63,	50,536	
180	11,45	49,134	63,	50,536	
181	11,455	49,131	63,	50,535	
182	11,46	49,129	63,	50,534	
183	11,465	49,126	63,	50,533	
184	11,47	49,123	63,	50,533	
185	11,475	49,12	63,	50,532	
186	11,48	49,118	63,	50,531	
187	11,485	49,115	63,	50,531	
188	11,49	49,112	63,	50,53	
189	11,495	49,11	63,	50,529	
190	11,5	49,107	63,	50,529	
191	11,505	49,104	63,	50,528	
192	11,51	49,102	63,	50,527	
193	11,515	49,099	63,	50,527	
194	11,52	49,097	63,	50,526	
195	11,525	49,094	63,	50,525	
196	11,53	49,091	63,	50,525	
197	11,535	49,089	63,	50,524	
198	11,54	49,086	63,	50,523	
199	11,545	49,084	63,	50,523	
200	11,55	49,081	63,	50,522	
201	11,555	49,079	63,	50,522	
202	11,56	49,076	63,	50,521	
203	11,565	49,074	63,	50,52	
204	11,57	49,072	63,	50,52	
205	11,575	49,069	63,	50,519	
206	11,58	49,067	63,	50,519	
207	11,585	49,064	63,	50,518	
208	11,59	49,062	63,	50,517	
209	11,595	49,06	63,	50,517	
210	11,6	49,057	63,	50,516	
211	11,605	49,055	63,	50,516	
212	11,61	49,053	63,	50,515	
213	11,615	49,05	63,	50,514	
214	11,62	49,048	63,	50,514	
215	11,625	49,046	63,	50,513	
216	11,63	49,044	63,	50,513	
217	11,635	49,041	63,	50,512	
218	11,64	49,039	63,	50,512	
219	11,645	49,037	63,	50,511	
220	11,65	49,035	63,	50,511	
221	11,655	49,033	63,	50,51	
222	11,66	49,031	63,	50,51	
223	11,665	49,028	63,	50,509	
224	11,67	49,026	63,	50,508	
225	11,675	49,024	63,	50,508	
226	11,68	49,022	63,	50,507	
227	11,685	49,02	63,	50,507	
228	11,69	49,018	63,	50,506	
229	11,695	49,016	63,	50,506	
230	11,7	49,014	63,	50,505	
231	11,705	49,012	63,	50,505	
232	11,71	49,01	63,	50,504	
233	11,715	49,008	63,	50,504	
234	11,72	49,006	63,	50,503	
235	11,725	49,004	63,	50,503	
236	11,73	49,002	63,	50,502	
237	11,735	49,	63,	50,502	
238	11,74	48,998	63,	50,501	
239	11,745	48,996	63,	50,501	
240	11,75	48,994	63,	50,5	
241	11,755	48,992	63,	50,5	
242	11,76	48,99	63,	50,499	
243	11,765	48,988	63,	50,499	
244	11,77	48,986	63,	50,499	
245	11,775	48,984	63,	50,498	
246	11,78	48,983	63,	50,498	
247	11,785	48,981	63,	50,497	
248	11,79	48,979	63,	50,497	
249	11,795	48,977	63,	50,496	
250	11,8	48,975	63,	50,496	
251	11,805	48,973	63,	50,495	
252	11,81	48,972	63,	50,495	
253	11,815	48,97	63,	50,495	
254	11,82	48,968	63,	50,494	
255	11,825	48,966	63,	50,494	
256	11,83	48,965	63,	50,493	
257	11,835	48,963	63,	50,493	
258	11,84	48,961	63,	50,492	
259	11,845	48,959	63,	50,492	
260	11,85	48,958	63,	50,492	
261	11,855	48,956	63,	50,491	
262	11,86	48,954	63,	50,491	
263	11,865	48,953	63,	50,49	
264	11,87	48,951	63,	50,49	
265	11,875	48,949	63,	50,49	
266	11,88	48,948	63,	50,489	
267	11,885	48,946	63,	50,489	
268	11,89	48,944	63,	50,488	
269	11,895	48,943	63,	50,488	
270	11,9	48,941	63,	50,488	
271	11,905	48,94	63,	50,487	
272	11,91	48,938	63,	50,487	
273	11,915	48,936	63,	50,486	
274	11,92	49,141	63,	50,806	
275	11,925	49,188	67,859	51,093	
276	11,93	49,207	72,854	51,355	
277	11,935	49,236	76,756	51,597	
278	11,94	49,281	80,036	51,824	
279	11,945	49,346	82,993	52,038	
280	11,95	49,433	85,663	52,24	
281	11,955	49,521	88,11	52,434	
282	11,96	49,558	90,379	52,62	
283	11,965	49,603	92,664	52,799	
284	11,97	49,656	94,879	52,972	
285	11,975	49,718	96,987	53,139	
286	11,98	49,757	99,	53,301	
287	11,985	49,802	100,93	53,459	
288	11,99	49,832	102,79	53,612	
289	11,995	49,863	104,58	53,762	
290	12,	49,876	106,32	53,908	
291	12,002	49,875	107,01	53,966	
292	12,002	49,875	210,	64,057	
293	12,002	49,875	210,	64,064	
294	12,002	49,874	210,	64,077	
295	12,003	49,783	210,	64,081	
296	12,053	48,026	204,05	63,589	
297	12,07	48,011	201,83	63,452	
298	12,086	48,362	199,44	63,325	
299	12,105	49,031	196,58	63,187	
300	12,152	49,976	189,35	62,845	
301	12,217	49,987	179,42	62,345	
302	12,311	49,994	166,67	61,609	
303	12,426	49,992	153,42	60,723	
304	12,569	49,99	139,84	59,661	
305	12,753	49,989	126,22	58,431	
306	12,994	49,987	112,59	57,047	
307	13,294	49,983	100,06	55,653	
308	13,594	49,979	90,408	54,533	
309	13,894	49,975	82,811	53,637	
310	14,194	49,972	76,757	52,922	
311	14,494	49,783	71,896	52,351	
312	14,794	49,508	67,979	51,896	
313	15,094	49,298	64,819	51,533	
314	15,394	49,139	62,268	51,243	
315	15,694	49,019	60,207	51,011	
316	15,994	48,932	58,543	50,826	
317	16,294	48,868	57,198	50,678	
318	16,594	48,822	56,111	50,56	
319	16,894	48,788	55,316	50,465	
320	17,194	48,764	54,891	50,39	
321	17,494	48,745	54,554	50,329	
322	17,794	48,731	54,285	50,281	
323	18,003	48,724	54,127	50,252	
