	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1,e-004	24,743	211,57	166,96	
2	2,e-004	24,743	211,32	166,22	
3	3,e-004	24,743	211,22	165,57	
4	4,2908e-004	24,743	210,5	164,83	
5	6,2918e-004	24,743	210,	163,83	
6	8,1459e-004	24,743	210,	163,02	
7	1,e-003	24,743	210,	162,28	
8	5,1e-002	24,743	206,74	123,43	
9	6,7667e-002	24,743	205,31	115,01	
10	7,8531e-002	24,743	204,19	110,49	
11	8,9395e-002	24,743	202,86	106,61	
12	0,10179	24,743	201,05	102,73	
13	0,12762	24,743	196,03	96,21	
14	0,15587	24,743	189,27	90,328	
15	0,18945	24,743	179,98	84,589	
16	0,23232	24,743	167,19	78,74	
17	0,28962	24,743	150,21	72,778	
18	0,35399	24,743	132,72	67,745	
19	0,42436	24,743	116,23	63,659	
20	0,50595	24,743	100,75	60,245	
21	0,6067	24,743	86,423	57,369	
22	0,74119	24,743	73,594	54,981	
23	0,94161	24,743	63,	53,097	
24	1,2416	24,743	63,	51,88	
25	1,5416	24,743	63,	51,352	
26	1,8416	24,743	63,	51,123	
27	2,1416	24,743	63,	51,023	
28	2,4416	24,743	63,	50,98	
29	2,7416	24,743	63,	50,961	
30	3,0416	24,743	63,	50,952	
31	3,3416	24,743	63,	50,949	
32	3,6416	24,743	63,	50,947	
33	3,9416	24,743	63,	50,946	
34	4,2416	24,743	63,	50,946	
35	4,5416	24,743	63,	50,946	
36	4,8416	24,743	63,	50,946	
37	5,1416	24,743	63,	50,946	
38	5,4416	24,743	63,	50,946	
39	5,7416	24,743	63,	50,946	
40	6,001	24,743	63,	50,946	
41	6,0011	49,915	210,	111,14	
42	6,0012	49,97	210,	111,15	
43	6,0015	49,97	210,	111,19	
44	6,002	49,972	210,	111,26	
45	6,003	49,973	210,01	111,26	
46	6,004	49,973	210,01	111,27	
47	6,007	49,977	210,05	111,26	
48	6,012	49,993	210,08	111,22	
49	6,017	50,	210,03	111,15	
50	6,022	50,	209,89	111,05	
51	6,027	50,	209,66	110,91	
52	6,032	50,	209,33	110,76	
53	6,037	50,	209,07	110,58	
54	6,042	50,	208,8	110,39	
55	6,047	50,	208,48	110,17	
56	6,052	50,	208,13	109,95	
57	6,057	50,	207,73	109,7	
58	6,062	50,	207,29	109,45	
59	6,067	50,	206,81	109,18	
60	6,072	50,	206,28	108,9	
61	6,077	50,	205,71	108,61	
