	Time [s]	T_couche2supp [°C]	
284	11,97	94,879	
285	11,975	96,987	
286	11,98	99,	
287	11,985	100,93	
288	11,99	102,79	
289	11,995	104,58	
290	12,	106,32	
291	12,002	107,01	
292	12,002	210,	
293	12,002	210,	
294	12,002	210,	
295	12,003	210,	
296	12,053	192,93	
297	12,07	187,85	
298	12,086	183,26	
299	12,105	178,57	
300	12,152	169,26	
301	12,217	158,85	
302	12,311	147,47	
303	12,426	136,74	
304	12,569	126,17	
305	12,753	115,65	
306	12,994	104,69	
307	13,294	94,222	
308	13,594	85,93	
309	13,894	79,236	
310	14,194	73,823	
311	14,494	69,443	
312	14,794	65,9	
313	15,094	63,034	
314	15,394	60,715	
315	15,694	58,841	
316	15,994	57,326	
317	16,294	56,102	
318	16,594	55,113	
319	16,894	54,601	
320	17,194	54,21	
321	17,494	53,899	
322	17,794	53,653	
323	18,003	53,507	
