	Time [s]	T_couche2supp [°C]	
1	1,e-004	193,34	
2	2,e-004	193,34	
3	3,1517e-004	193,33	
4	5,088e-004	193,33	
5	8,3755e-004	193,32	
6	1,e-003	193,32	
7	5,1e-002	189,5	
8	6,7667e-002	188,28	
9	7,8094e-002	187,4	
10	8,8522e-002	186,37	
11	9,9255e-002	185,17	
12	0,13146	180,39	
13	0,17264	173,07	
14	0,22629	162,82	
15	0,30531	148,58	
16	0,4012	134,21	
17	0,51339	121,55	
18	0,65984	110,61	
19	0,87794	101,72	
20	1,1779	96,195	
21	1,4779	93,867	
22	1,7779	92,933	
23	2,0779	92,525	
24	2,3779	92,347	
25	2,6779	92,269	
26	2,9779	92,235	
27	3,2779	92,221	
28	3,5779	92,214	
29	3,8779	92,211	
30	4,1779	92,21	
31	4,4779	92,21	
32	4,7779	92,209	
33	5,0779	92,209	
34	5,3779	92,209	
35	5,6779	92,209	
36	5,8395	92,209	
37	6,001	92,209	
38	6,0011	210,	
39	6,0012	210,	
40	6,0015	210,	
41	6,002	210,	
42	6,003	209,99	
43	6,004	209,98	
44	6,007	209,97	
45	6,012	209,96	
46	6,017	209,95	
47	6,022	209,93	
48	6,027	209,89	
49	6,032	209,82	
50	6,037	209,71	
51	6,042	209,57	
52	6,047	209,39	
53	6,052	209,18	
54	6,057	208,93	
55	6,062	208,65	
56	6,067	208,33	
57	6,072	207,98	
58	6,077	207,6	
59	6,082	207,2	
60	6,087	206,77	
61	6,092	206,31	
62	6,097	205,84	
63	6,1	205,55	
64	6,15	200,18	
65	6,2	194,95	
66	6,3481	180,4	
67	6,5273	165,42	
68	6,7468	150,78	
69	7,0256	136,92	
70	7,3256	125,98	
71	7,6256	117,94	
72	7,9256	112,03	
73	8,2256	107,69	
74	8,5256	104,5	
75	8,8256	102,16	
76	9,1256	100,44	
77	9,4256	99,171	
78	9,7256	98,242	
79	10,026	97,56	
80	10,326	97,058	
81	10,626	96,69	
82	10,813	96,503	
83	11,	96,35	
84	11,001	96,349	
85	11,002	96,348	
86	11,005	96,346	
87	11,01	96,342	
88	11,015	96,338	
89	11,02	96,334	
90	11,025	96,33	
91	11,03	96,326	
92	11,035	96,322	
93	11,04	96,318	
94	11,045	96,314	
95	11,05	96,31	
96	11,055	96,307	
97	11,06	96,303	
98	11,065	96,299	
99	11,07	96,295	
100	11,075	96,291	
101	11,08	96,288	
102	11,085	96,284	
103	11,09	96,28	
104	11,095	96,277	
105	11,1	96,273	
106	11,105	96,27	
107	11,11	96,267	
108	11,115	96,263	
109	11,12	96,26	
110	11,125	96,257	
111	11,13	96,254	
112	11,135	96,251	
113	11,14	96,248	
114	11,145	96,244	
115	11,15	96,241	
116	11,155	96,238	
117	11,16	96,235	
