	Time [s]	T_couche2supp [°C]	
118	11,165	96,232	
119	11,17	96,229	
120	11,175	96,226	
121	11,18	96,223	
122	11,185	96,22	
123	11,19	96,217	
124	11,195	96,215	
125	11,2	96,212	
126	11,205	96,209	
127	11,21	96,206	
128	11,215	96,203	
129	11,22	96,2	
130	11,225	96,197	
131	11,23	96,195	
132	11,235	96,192	
133	11,24	96,189	
134	11,245	96,186	
135	11,25	96,184	
136	11,255	96,181	
137	11,26	96,178	
138	11,265	96,176	
139	11,27	96,173	
140	11,275	96,17	
141	11,28	96,168	
142	11,285	96,165	
143	11,29	96,162	
144	11,295	96,16	
145	11,3	96,157	
146	11,305	96,155	
147	11,31	96,152	
148	11,315	96,15	
149	11,32	96,147	
150	11,325	96,145	
151	11,33	96,142	
152	11,335	96,14	
153	11,34	96,137	
154	11,345	96,135	
155	11,35	96,133	
156	11,355	96,13	
157	11,36	96,128	
158	11,365	96,125	
159	11,37	96,123	
160	11,375	96,121	
161	11,38	96,118	
162	11,385	96,116	
163	11,39	96,114	
164	11,395	96,112	
165	11,4	96,109	
166	11,405	96,107	
167	11,41	96,105	
168	11,415	96,103	
169	11,42	96,1	
170	11,425	96,098	
171	11,43	96,096	
172	11,435	96,094	
173	11,44	96,092	
174	11,445	96,09	
175	11,45	96,088	
176	11,455	96,085	
177	11,46	96,083	
178	11,465	96,081	
179	11,47	96,079	
180	11,475	96,077	
181	11,48	96,075	
182	11,485	96,073	
183	11,49	96,071	
184	11,495	96,069	
185	11,5	96,067	
186	11,505	96,065	
187	11,51	96,063	
188	11,515	96,061	
189	11,52	96,059	
190	11,525	96,057	
191	11,53	96,055	
192	11,535	96,053	
193	11,54	96,051	
194	11,545	96,05	
195	11,55	96,048	
196	11,555	96,046	
197	11,56	96,044	
198	11,565	96,042	
199	11,57	96,04	
200	11,575	96,038	
201	11,58	96,037	
202	11,585	96,035	
203	11,59	96,033	
204	11,595	96,031	
205	11,6	96,029	
206	11,605	96,028	
207	11,61	96,026	
208	11,615	96,024	
209	11,62	96,023	
210	11,625	96,021	
211	11,63	96,019	
212	11,635	96,017	
213	11,64	96,016	
214	11,645	96,014	
215	11,65	96,012	
216	11,655	96,011	
217	11,66	96,009	
218	11,665	96,007	
219	11,67	96,006	
220	11,675	96,004	
221	11,68	96,003	
222	11,685	96,001	
223	11,69	95,999	
224	11,695	95,998	
225	11,7	95,996	
226	11,705	95,995	
227	11,71	95,993	
228	11,715	95,992	
229	11,72	95,99	
230	11,725	95,989	
231	11,73	95,987	
232	11,735	95,986	
233	11,74	95,984	
234	11,745	95,983	
235	11,75	95,981	
236	11,755	95,98	
237	11,76	95,978	
238	11,765	95,977	
239	11,77	95,975	
240	11,775	95,974	
241	11,78	95,973	
242	11,785	95,971	
243	11,79	95,97	
244	11,795	95,968	
245	11,8	95,967	
246	11,805	95,966	
247	11,81	95,964	
248	11,815	95,963	
249	11,82	95,962	
250	11,825	95,96	
251	11,83	95,959	
252	11,835	95,958	
253	11,84	95,956	
254	11,845	95,955	
255	11,85	95,954	
256	11,855	95,952	
257	11,86	95,951	
258	11,865	95,95	
259	11,87	95,949	
260	11,875	95,947	
261	11,88	95,946	
262	11,885	95,945	
263	11,89	95,944	
264	11,895	95,942	
265	11,9	95,941	
266	11,905	95,94	
267	11,91	95,939	
268	11,915	95,938	
269	11,92	107,25	
270	11,925	114,33	
271	11,93	119,33	
272	11,935	123,31	
273	11,94	126,73	
274	11,945	129,72	
275	11,95	132,39	
276	11,955	134,87	
277	11,96	137,3	
278	11,965	139,6	
279	11,97	141,81	
280	11,975	143,92	
281	11,98	145,94	
282	11,985	147,87	
283	11,99	149,73	
284	11,995	151,52	
285	12,	153,26	
286	12,002	153,94	
287	12,002	210,	
288	12,002	210,	
289	12,002	210,	
290	12,003	210,	
291	12,053	198,52	
292	12,07	195,12	
293	12,086	192,07	
294	12,136	184,92	
295	12,221	176,13	
296	12,36	166,24	
297	12,553	156,51	
298	12,806	146,98	
299	13,106	138,19	
300	13,406	131,	
301	13,706	125,08	
302	14,006	120,08	
303	14,306	115,83	
304	14,606	112,22	
305	14,906	109,15	
306	15,206	106,55	
307	15,506	104,34	
308	15,806	102,46	
309	16,106	100,86	
310	16,406	99,502	
311	16,706	98,35	
312	17,006	97,373	
313	17,306	96,544	
314	17,606	95,842	
315	17,805	95,805	
316	18,003	95,777	
