	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
170	11,425	93,209	100,	97,265	
171	11,43	93,207	100,	97,264	
172	11,435	93,206	100,	97,262	
173	11,44	93,204	100,	97,261	
174	11,445	93,202	100,	97,259	
175	11,45	93,2	100,	97,258	
176	11,455	93,198	100,	97,256	
177	11,46	93,196	100,	97,255	
178	11,465	93,194	100,	97,254	
179	11,47	93,192	100,	97,252	
180	11,475	93,19	100,	97,251	
181	11,48	93,188	100,	97,25	
182	11,485	93,186	100,	97,248	
183	11,49	93,185	100,	97,247	
184	11,495	93,183	100,	97,246	
185	11,5	93,181	100,	97,244	
186	11,505	93,179	100,	97,243	
187	11,51	93,177	100,	97,242	
188	11,515	93,176	100,	97,24	
189	11,52	93,174	100,	97,239	
190	11,525	93,172	100,	97,238	
191	11,53	93,17	100,	97,236	
192	11,535	93,169	100,	97,235	
193	11,54	93,167	100,	97,234	
194	11,545	93,165	100,	97,233	
195	11,55	93,163	100,	97,231	
196	11,555	93,162	100,	97,23	
197	11,56	93,16	100,	97,229	
198	11,565	93,158	100,	97,228	
199	11,57	93,157	100,	97,226	
200	11,575	93,155	100,	97,225	
201	11,58	93,153	100,	97,224	
202	11,585	93,152	100,	97,223	
203	11,59	93,15	100,	97,222	
204	11,595	93,148	100,	97,221	
205	11,6	93,147	100,	97,219	
206	11,605	93,145	100,	97,218	
207	11,61	93,144	100,	97,217	
208	11,615	93,142	100,	97,216	
209	11,62	93,141	100,	97,215	
210	11,625	93,139	100,	97,214	
211	11,63	93,137	100,	97,212	
212	11,635	93,136	100,	97,211	
213	11,64	93,134	100,	97,21	
214	11,645	93,133	100,	97,209	
215	11,65	93,131	100,	97,208	
216	11,655	93,13	100,	97,207	
217	11,66	93,128	100,	97,206	
218	11,665	93,127	100,	97,205	
219	11,67	93,125	100,	97,204	
220	11,675	93,124	100,	97,203	
221	11,68	93,123	100,	97,202	
222	11,685	93,121	100,	97,2	
223	11,69	93,12	100,	97,199	
224	11,695	93,118	100,	97,198	
225	11,7	93,117	100,	97,197	
226	11,705	93,115	100,	97,196	
227	11,71	93,114	100,	97,195	
228	11,715	93,113	100,	97,194	
229	11,72	93,111	100,	97,193	
230	11,725	93,11	100,	97,192	
231	11,73	93,109	100,	97,191	
232	11,735	93,107	100,	97,19	
233	11,74	93,106	100,	97,189	
234	11,745	93,104	100,	97,188	
235	11,75	93,103	100,	97,187	
236	11,755	93,102	100,	97,186	
237	11,76	93,101	100,	97,185	
238	11,765	93,099	100,	97,184	
239	11,77	93,098	100,	97,183	
240	11,775	93,097	100,	97,183	
241	11,78	93,095	100,	97,182	
242	11,785	93,094	100,	97,181	
243	11,79	93,093	100,	97,18	
244	11,795	93,092	100,	97,179	
245	11,8	93,09	100,	97,178	
246	11,805	93,089	100,	97,177	
247	11,81	93,088	100,	97,176	
248	11,815	93,087	100,	97,175	
249	11,82	93,085	100,	97,174	
250	11,825	93,084	100,	97,173	
251	11,83	93,083	100,	97,172	
252	11,835	93,082	100,	97,172	
253	11,84	93,081	100,	97,171	
254	11,845	93,079	100,	97,17	
