	Time [s]	T_couche2supp [°C]	
293	11,219	52,223	
294	11,224	52,223	
295	11,229	52,222	
296	11,234	52,221	
297	11,239	52,221	
298	11,244	52,22	
299	11,249	52,22	
300	11,254	52,219	
301	11,259	52,219	
302	11,264	52,218	
303	11,269	52,218	
304	11,274	52,217	
305	11,279	52,217	
306	11,284	52,216	
307	11,289	52,216	
308	11,294	52,215	
309	11,299	52,215	
310	11,304	52,214	
311	11,309	52,214	
312	11,314	52,213	
313	11,319	52,213	
314	11,324	52,213	
315	11,329	52,212	
316	11,334	52,212	
317	11,339	52,211	
318	11,344	52,211	
319	11,349	52,21	
320	11,354	52,21	
321	11,359	52,209	
322	11,364	52,209	
323	11,369	52,208	
324	11,374	52,208	
325	11,379	52,208	
326	11,384	52,207	
327	11,389	52,207	
328	11,394	52,206	
329	11,399	52,206	
330	11,404	52,206	
331	11,409	52,205	
332	11,414	52,205	
333	11,419	52,204	
334	11,424	52,204	
335	11,429	52,203	
336	11,434	52,203	
337	11,439	52,203	
338	11,444	52,202	
339	11,449	52,202	
340	11,454	52,202	
341	11,459	52,201	
342	11,464	52,201	
343	11,469	52,2	
344	11,474	52,2	
345	11,479	52,2	
346	11,484	52,199	
347	11,489	52,199	
348	11,494	52,199	
349	11,499	52,198	
350	11,504	52,198	
351	11,509	52,198	
352	11,514	52,197	
353	11,519	52,197	
354	11,524	52,196	
355	11,529	52,196	
356	11,534	52,196	
357	11,539	52,195	
358	11,544	52,195	
359	11,549	52,195	
360	11,554	52,194	
361	11,559	52,194	
362	11,564	52,194	
363	11,569	52,193	
364	11,574	52,193	
365	11,579	52,193	
366	11,584	52,193	
367	11,589	52,192	
368	11,594	52,192	
369	11,599	52,192	
370	11,604	52,191	
371	11,609	52,191	
372	11,614	52,191	
373	11,619	52,19	
374	11,624	52,19	
375	11,629	52,19	
376	11,634	52,189	
377	11,639	52,189	
378	11,644	52,189	
379	11,649	52,189	
380	11,654	52,188	
381	11,659	52,188	
382	11,664	52,188	
383	11,669	52,187	
384	11,674	52,187	
385	11,679	52,187	
386	11,684	52,187	
387	11,689	52,186	
388	11,694	52,186	
389	11,699	52,186	
390	11,704	52,186	
391	11,709	52,185	
392	11,714	52,185	
393	11,719	52,185	
394	11,724	52,185	
395	11,729	52,184	
396	11,734	52,184	
397	11,739	52,184	
398	11,744	52,184	
399	11,749	52,183	
400	11,754	52,183	
401	11,759	52,183	
402	11,764	52,183	
403	11,769	52,182	
404	11,774	52,182	
405	11,779	52,182	
406	11,784	52,182	
407	11,789	52,181	
408	11,794	52,181	
409	11,799	52,181	
410	11,804	52,181	
411	11,809	52,18	
412	11,814	52,18	
413	11,819	52,18	
414	11,824	52,18	
415	11,829	52,18	
416	11,834	52,179	
417	11,839	52,179	
418	11,844	52,179	
419	11,849	52,179	
420	11,854	52,179	
421	11,859	52,178	
422	11,864	52,178	
423	11,869	52,178	
424	11,874	52,178	
425	11,879	52,177	
426	11,884	52,177	
427	11,889	52,177	
428	11,894	52,177	
429	11,899	52,177	
430	11,904	52,176	
431	11,909	52,176	
432	11,914	52,176	
433	11,919	61,157	
434	11,924	67,852	
435	11,929	72,922	
436	11,934	76,863	
437	11,939	80,178	
438	11,944	83,111	
439	11,949	85,788	
440	11,954	88,278	
441	11,959	90,621	
442	11,964	92,844	
443	11,969	94,964	
444	11,974	96,996	
445	11,979	98,949	
446	11,984	100,83	
447	11,989	102,65	
448	11,994	104,42	
449	11,999	106,13	
450	12,002	107,14	
451	12,002	210,	
452	12,002	210,	
453	12,002	210,	
454	12,002	210,	
455	12,002	210,	
456	12,003	210,	
457	12,003	210,	
458	12,003	210,	
459	12,003	210,	
460	12,003	210,	
461	12,053	176,76	
462	12,103	155,09	
463	12,153	140,25	
464	12,203	129,63	
465	12,253	121,71	
466	12,303	115,69	
467	12,353	110,89	
468	12,403	106,9	
469	12,453	103,52	
470	12,503	100,54	
471	12,553	97,873	
472	12,603	95,532	
473	12,653	93,38	
474	12,703	91,384	
475	12,753	89,517	
476	12,803	87,764	
477	12,853	86,109	
478	12,903	84,543	
479	12,953	83,057	
480	13,003	81,645	
481	13,053	80,302	
482	13,103	79,023	
483	13,153	77,803	
484	13,203	76,64	
485	13,253	75,53	
486	13,303	74,471	
487	13,353	73,459	
488	13,403	72,493	
489	13,453	71,57	
490	13,503	70,688	
491	13,553	69,845	
492	13,603	69,039	
493	13,653	68,269	
494	13,703	67,533	
495	13,753	66,829	
496	13,803	66,156	
497	13,853	65,513	
498	13,903	64,897	
499	13,953	64,309	
500	14,003	63,746	
501	14,053	63,207	
502	14,103	62,692	
503	14,153	62,2	
504	14,203	61,729	
505	14,253	61,278	
506	14,303	60,846	
507	14,353	60,434	
508	14,403	60,039	
509	14,453	59,661	
510	14,503	59,3	
511	14,553	58,954	
512	14,603	58,623	
513	14,653	58,306	
514	14,703	58,003	
515	14,753	57,713	
516	14,803	57,436	
517	14,853	57,172	
518	14,903	56,919	
519	14,953	56,677	
520	15,003	56,445	
521	15,053	56,223	
522	15,103	56,011	
523	15,153	55,807	
524	15,203	55,612	
525	15,253	55,426	
526	15,303	55,247	
527	15,353	55,076	
528	15,403	54,912	
529	15,453	54,754	
530	15,503	54,604	
531	15,553	54,489	
532	15,603	54,379	
533	15,653	54,275	
534	15,703	54,175	
535	15,753	54,08	
536	15,803	53,988	
537	15,853	53,901	
538	15,903	53,818	
539	15,953	53,738	
540	16,003	53,662	
541	16,053	53,589	
542	16,103	53,519	
543	16,153	53,452	
544	16,203	53,388	
545	16,253	53,327	
546	16,303	53,268	
547	16,353	53,212	
548	16,403	53,159	
549	16,453	53,108	
550	16,503	53,059	
551	16,553	53,012	
552	16,603	52,967	
553	16,653	52,924	
554	16,703	52,883	
555	16,753	52,844	
556	16,803	52,806	
557	16,853	52,77	
558	16,903	52,735	
559	16,953	52,702	
560	17,003	52,671	
561	17,053	52,641	
562	17,103	52,612	
563	17,203	52,558	
564	17,303	52,51	
565	17,403	52,465	
566	17,503	52,424	
567	17,603	52,386	
568	17,703	52,351	
569	17,803	52,319	
570	17,903	52,29	
571	18,003	52,263	
