	Time [s]	T_couche2supp [°C]	
1	1,e-004	63,003	
2	2,e-004	63,003	
3	3,e-004	63,003	
4	4,5138e-004	63,003	
5	6,9606e-004	63,003	
6	1,e-003	63,003	
7	5,1e-002	63,002	
8	6,7667e-002	63,002	
9	7,8277e-002	63,002	
10	8,8888e-002	63,002	
11	0,11063	63,002	
12	0,14161	63,002	
13	0,17755	63,002	
14	0,22335	63,002	
15	0,28759	63,002	
16	0,36341	63,001	
17	0,44827	63,001	
18	0,55033	63,001	
19	0,68407	63,001	
20	0,88028	63,001	
21	1,1803	63,001	
22	1,4803	63,001	
23	1,7803	63,001	
24	2,0803	63,001	
25	2,3803	63,001	
26	2,6803	63,001	
27	2,9803	63,001	
28	3,2803	63,001	
29	3,5803	63,001	
30	3,8803	63,001	
31	4,1803	63,001	
32	4,4803	63,001	
33	4,7803	63,001	
34	5,0803	63,001	
35	5,3803	63,001	
36	5,6803	63,001	
37	5,8406	63,001	
38	6,001	63,001	
39	6,0011	210,	
40	6,0012	210,	
41	6,0015	210,	
42	6,002	210,	
43	6,003	209,99	
44	6,004	209,97	
45	6,007	209,91	
46	6,012	209,82	
47	6,017	209,71	
48	6,022	209,6	
49	6,027	209,47	
50	6,032	209,31	
51	6,037	209,12	
52	6,042	208,88	
53	6,047	208,6	
54	6,052	208,3	
55	6,057	207,96	
56	6,062	207,57	
57	6,067	207,16	
58	6,072	206,7	
59	6,077	206,21	
60	6,082	205,7	
61	6,087	205,15	
62	6,092	204,57	
63	6,097	203,97	
64	6,1	203,6	
65	6,15	196,55	
66	6,2	189,35	
67	6,2979	176,46	
68	6,4187	162,73	
69	6,5646	148,87	
70	6,7465	134,89	
71	6,9796	121,05	
72	7,2796	107,97	
73	7,5796	98,356	
74	7,8796	91,293	
75	8,1796	86,108	
76	8,4796	82,308	
77	8,7796	79,525	
78	9,0796	77,491	
79	9,3796	76,005	
80	9,6796	74,922	
81	9,9796	74,132	
82	10,28	73,556	
83	10,58	73,137	
84	10,88	72,832	
85	11,	72,725	
86	11,001	72,724	
87	11,002	72,723	
88	11,005	72,721	
89	11,01	72,716	
90	11,015	72,712	
91	11,02	72,708	
92	11,025	72,703	
93	11,03	72,699	
94	11,035	72,695	
95	11,04	72,691	
96	11,045	72,687	
97	11,05	72,682	
98	11,055	72,678	
99	11,06	72,674	
100	11,065	72,67	
101	11,07	72,666	
102	11,075	72,662	
103	11,08	72,658	
104	11,085	72,654	
105	11,09	72,65	
106	11,095	72,646	
107	11,1	72,642	
108	11,105	72,638	
109	11,11	72,635	
110	11,115	72,631	
111	11,12	72,627	
112	11,125	72,623	
113	11,13	72,619	
114	11,135	72,616	
115	11,14	72,612	
116	11,145	72,608	
117	11,15	72,605	
118	11,155	72,601	
119	11,16	72,597	
120	11,165	72,594	
121	11,17	72,59	
122	11,175	72,587	
123	11,18	72,583	
124	11,185	72,58	
125	11,19	72,576	
126	11,195	72,573	
127	11,2	72,569	
128	11,205	72,566	
129	11,21	72,562	
130	11,215	72,559	
131	11,22	72,556	
132	11,225	72,552	
133	11,23	72,549	
134	11,235	72,546	
135	11,24	72,542	
136	11,245	72,539	
137	11,25	72,536	
138	11,255	72,533	
139	11,26	72,529	
140	11,265	72,526	
141	11,27	72,523	
142	11,275	72,52	
143	11,28	72,517	
144	11,285	72,514	
145	11,29	72,511	
146	11,295	72,508	
147	11,3	72,505	
148	11,305	72,502	
149	11,31	72,499	
150	11,315	72,496	
151	11,32	72,493	
152	11,325	72,49	
153	11,33	72,487	
154	11,335	72,484	
155	11,34	72,481	
156	11,345	72,478	
157	11,35	72,475	
158	11,355	72,472	
159	11,36	72,47	
