	Time [s]	T_couche2supp [°C]	
160	11,365	72,467	
161	11,37	72,464	
162	11,375	72,461	
163	11,38	72,459	
164	11,385	72,456	
165	11,39	72,453	
166	11,395	72,45	
167	11,4	72,448	
168	11,405	72,445	
169	11,41	72,442	
170	11,415	72,44	
171	11,42	72,437	
172	11,425	72,435	
173	11,43	72,432	
174	11,435	72,429	
175	11,44	72,427	
176	11,445	72,424	
177	11,45	72,422	
178	11,455	72,419	
179	11,46	72,417	
180	11,465	72,414	
181	11,47	72,412	
182	11,475	72,409	
183	11,48	72,407	
184	11,485	72,405	
185	11,49	72,402	
186	11,495	72,4	
187	11,5	72,397	
188	11,505	72,395	
189	11,51	72,393	
190	11,515	72,39	
191	11,52	72,388	
192	11,525	72,386	
193	11,53	72,384	
194	11,535	72,381	
195	11,54	72,379	
196	11,545	72,377	
197	11,55	72,375	
198	11,555	72,372	
199	11,56	72,37	
200	11,565	72,368	
201	11,57	72,366	
202	11,575	72,364	
203	11,58	72,362	
204	11,585	72,359	
205	11,59	72,357	
206	11,595	72,355	
207	11,6	72,353	
208	11,605	72,351	
209	11,61	72,349	
210	11,615	72,347	
211	11,62	72,345	
212	11,625	72,343	
213	11,63	72,341	
214	11,635	72,339	
215	11,64	72,337	
216	11,645	72,335	
217	11,65	72,333	
218	11,655	72,331	
219	11,66	72,329	
220	11,665	72,327	
221	11,67	72,325	
222	11,675	72,323	
223	11,68	72,322	
224	11,685	72,32	
225	11,69	72,318	
226	11,695	72,316	
227	11,7	72,314	
228	11,705	72,312	
229	11,71	72,311	
230	11,715	72,309	
231	11,72	72,307	
232	11,725	72,305	
233	11,73	72,303	
234	11,735	72,302	
235	11,74	72,3	
236	11,745	72,298	
237	11,75	72,296	
238	11,755	72,295	
239	11,76	72,293	
240	11,765	72,291	
241	11,77	72,29	
242	11,775	72,288	
243	11,78	72,286	
244	11,785	72,285	
245	11,79	72,283	
246	11,795	72,281	
247	11,8	72,28	
248	11,805	72,278	
249	11,81	72,277	
250	11,815	72,275	
251	11,82	72,273	
252	11,825	72,272	
253	11,83	72,27	
254	11,835	72,269	
255	11,84	72,267	
256	11,845	72,266	
257	11,85	72,264	
258	11,855	72,263	
259	11,86	72,261	
260	11,865	72,26	
261	11,87	72,258	
262	11,875	72,257	
263	11,88	72,255	
264	11,885	72,254	
265	11,89	72,252	
266	11,895	72,251	
267	11,9	72,249	
268	11,905	72,248	
269	11,91	72,247	
270	11,915	72,245	
271	11,92	83,492	
272	11,925	90,483	
273	11,93	95,466	
274	11,935	99,537	
275	11,94	102,96	
276	11,945	105,95	
277	11,95	108,64	
278	11,955	111,23	
279	11,96	113,66	
280	11,965	115,95	
281	11,97	118,16	
282	11,975	120,27	
283	11,98	122,29	
284	11,985	124,22	
285	11,99	126,08	
286	11,995	127,87	
287	12,	129,61	
288	12,002	130,29	
289	12,002	210,	
290	12,002	210,	
291	12,002	210,	
292	12,003	210,	
293	12,053	195,	
294	12,07	190,53	
295	12,086	186,49	
296	12,11	181,41	
297	12,165	172,08	
298	12,245	161,75	
299	12,352	151,14	
300	12,488	140,94	
301	12,664	130,81	
302	12,897	120,31	
303	13,197	110,12	
304	13,497	102,06	
305	13,797	95,562	
306	14,097	90,313	
307	14,397	86,066	
308	14,697	82,629	
309	14,997	79,849	
310	15,297	77,6	
311	15,597	75,781	
312	15,897	74,311	
313	16,197	73,123	
314	16,497	72,188	
315	16,797	72,145	
316	17,097	72,113	
317	17,397	72,09	
318	17,697	72,072	
319	17,85	72,064	
320	18,003	72,057	
