	Time [s]	T_couche_0,3mm_milieu_couche1 [°C]	
1	1,e-004	210,	
2	2,e-004	210,	
3	3,e-004	210,	
4	4,5138e-004	210,	
5	6,9606e-004	210,	
6	1,e-003	210,	
7	5,1e-002	204,85	
8	6,7667e-002	202,45	
9	7,8277e-002	200,62	
10	8,8888e-002	198,51	
11	0,11063	193,2	
12	0,14161	184,49	
13	0,17755	173,87	
14	0,22335	160,76	
15	0,28759	144,56	
16	0,36341	128,92	
17	0,44827	115,33	
18	0,55033	103,47	
19	0,68407	93,258	
20	0,88028	84,888	
21	1,1803	79,158	
22	1,4803	76,608	
23	1,7803	75,477	
24	2,0803	74,976	
25	2,3803	74,755	
26	2,6803	74,657	
27	2,9803	74,637	
28	3,2803	74,629	
29	3,5803	74,626	
30	3,8803	74,624	
31	4,1803	74,624	
32	4,4803	74,623	
33	4,7803	74,623	
34	5,0803	74,623	
35	5,3803	74,623	
36	5,6803	74,623	
37	5,8406	74,623	
38	6,001	74,623	
39	6,0011	74,729	
40	6,0012	74,835	
41	6,0015	75,15	
42	6,002	75,672	
43	6,003	76,693	
44	6,004	77,693	
45	6,007	80,515	
46	6,012	84,774	
47	6,017	88,624	
48	6,022	92,104	
49	6,027	95,245	
50	6,032	98,077	
51	6,037	100,63	
52	6,042	102,92	
53	6,047	104,98	
54	6,052	106,83	
55	6,057	108,49	
56	6,062	109,98	
57	6,067	111,3	
58	6,072	112,48	
59	6,077	113,53	
60	6,082	114,46	
61	6,087	115,28	
62	6,092	115,99	
63	6,097	116,62	
64	6,1	116,97	
65	6,15	118,41	
66	6,2	117,72	
67	6,2979	113,98	
68	6,4187	109,23	
69	6,5646	104,31	
70	6,7465	99,005	
71	6,9796	93,535	
72	7,2796	88,285	
73	7,5796	84,408	
74	7,8796	81,556	
75	8,1796	79,464	
76	8,4796	77,933	
77	8,7796	76,813	
78	9,0796	75,995	
79	9,3796	75,397	
80	9,6796	74,961	
81	9,9796	74,644	
82	10,28	74,413	
83	10,58	74,245	
84	10,88	74,123	
85	11,	74,08	
86	11,001	74,08	
87	11,002	74,079	
88	11,005	74,078	
89	11,01	74,076	
90	11,015	74,075	
91	11,02	74,073	
92	11,025	74,071	
93	11,03	74,07	
94	11,035	74,068	
95	11,04	74,066	
96	11,045	74,065	
97	11,05	74,063	
98	11,055	74,061	
99	11,06	74,06	
100	11,065	74,058	
101	11,07	74,056	
102	11,075	74,055	
103	11,08	74,053	
104	11,085	74,051	
105	11,09	74,05	
106	11,095	74,048	
107	11,1	74,047	
108	11,105	74,045	
109	11,11	74,044	
110	11,115	74,042	
111	11,12	74,041	
112	11,125	74,039	
113	11,13	74,038	
114	11,135	74,036	
115	11,14	74,035	
116	11,145	74,033	
117	11,15	74,032	
118	11,155	74,03	
119	11,16	74,029	
120	11,165	74,027	
121	11,17	74,026	
122	11,175	74,025	
123	11,18	74,023	
124	11,185	74,022	
125	11,19	74,02	
126	11,195	74,019	
127	11,2	74,018	
128	11,205	74,016	
129	11,21	74,015	
130	11,215	74,013	
131	11,22	74,012	
132	11,225	74,011	
133	11,23	74,009	
134	11,235	74,008	
135	11,24	74,007	
136	11,245	74,006	
137	11,25	74,004	
138	11,255	74,003	
139	11,26	74,002	
140	11,265	74,	
141	11,27	73,999	
142	11,275	73,998	
143	11,28	73,997	
144	11,285	73,995	
145	11,29	73,994	
146	11,295	73,993	
147	11,3	73,992	
148	11,305	73,991	
149	11,31	73,989	
150	11,315	73,988	
151	11,32	73,987	
152	11,325	73,986	
153	11,33	73,985	
154	11,335	73,983	
155	11,34	73,982	
156	11,345	73,981	
157	11,35	73,98	
158	11,355	73,979	
159	11,36	73,978	
160	11,365	73,977	
161	11,37	73,975	
162	11,375	73,974	
163	11,38	73,973	
164	11,385	73,972	
165	11,39	73,971	
166	11,395	73,97	
167	11,4	73,969	
168	11,405	73,968	
169	11,41	73,967	
170	11,415	73,966	
171	11,42	73,965	
172	11,425	73,964	
173	11,43	73,963	
174	11,435	73,962	
175	11,44	73,961	
176	11,445	73,96	
177	11,45	73,959	
178	11,455	73,958	
179	11,46	73,957	
180	11,465	73,956	
181	11,47	73,955	
182	11,475	73,954	
183	11,48	73,953	
184	11,485	73,952	
185	11,49	73,951	
186	11,495	73,95	
187	11,5	73,949	
188	11,505	73,948	
189	11,51	73,947	
190	11,515	73,946	
191	11,52	73,945	
192	11,525	73,944	
193	11,53	73,943	
194	11,535	73,942	
195	11,54	73,942	
196	11,545	73,941	
197	11,55	73,94	
198	11,555	73,939	
199	11,56	73,938	
200	11,565	73,937	
201	11,57	73,936	
202	11,575	73,935	
203	11,58	73,935	
204	11,585	73,934	
205	11,59	73,933	
206	11,595	73,932	
207	11,6	73,931	
208	11,605	73,93	
209	11,61	73,929	
210	11,615	73,929	
211	11,62	73,928	
212	11,625	73,927	
213	11,63	73,926	
214	11,635	73,925	
215	11,64	73,925	
216	11,645	73,924	
217	11,65	73,923	
218	11,655	73,922	
219	11,66	73,922	
220	11,665	73,921	
221	11,67	73,92	
222	11,675	73,919	
223	11,68	73,918	
224	11,685	73,918	
225	11,69	73,917	
226	11,695	73,916	
227	11,7	73,916	
228	11,705	73,915	
229	11,71	73,914	
230	11,715	73,913	
231	11,72	73,913	
232	11,725	73,912	
233	11,73	73,911	
234	11,735	73,91	
235	11,74	73,91	
236	11,745	73,909	
237	11,75	73,908	
238	11,755	73,908	
239	11,76	73,907	
240	11,765	73,906	
241	11,77	73,906	
242	11,775	73,905	
243	11,78	73,904	
244	11,785	73,904	
245	11,79	73,903	
246	11,795	73,902	
247	11,8	73,902	
248	11,805	73,901	
249	11,81	73,9	
250	11,815	73,9	
251	11,82	73,899	
252	11,825	73,899	
253	11,83	73,898	
254	11,835	73,897	
255	11,84	73,897	
256	11,845	73,896	
257	11,85	73,895	
258	11,855	73,895	
259	11,86	73,894	
260	11,865	73,894	
261	11,87	73,893	
262	11,875	73,892	
263	11,88	73,892	
264	11,885	73,891	
265	11,89	73,891	
266	11,895	73,89	
267	11,9	73,89	
268	11,905	73,889	
269	11,91	73,888	
270	11,915	73,888	
271	11,92	73,887	
272	11,925	73,887	
273	11,93	73,888	
274	11,935	73,89	
275	11,94	73,894	
276	11,945	73,9	
277	11,95	73,911	
278	11,955	73,925	
279	11,96	73,943	
280	11,965	73,967	
281	11,97	73,996	
282	11,975	74,031	
283	11,98	74,072	
284	11,985	74,121	
285	11,99	74,179	
286	11,995	74,244	
287	12,	74,316	
288	12,002	74,346	
289	12,002	74,348	
290	12,002	74,349	
291	12,002	74,354	
292	12,003	74,362	
293	12,053	75,418	
294	12,07	76,2	
295	12,086	77,107	
296	12,11	78,54	
297	12,165	81,737	
298	12,245	85,273	
299	12,352	88,093	
300	12,488	89,503	
301	12,664	89,423	
