	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1,e-004	24,743	211,32	168,59	
2	2,e-004	24,743	211,11	167,96	
3	3,e-004	24,743	211,02	167,41	
4	4,5138e-004	24,743	210,23	166,68	
5	6,9606e-004	24,743	210,	165,68	
6	1,e-003	24,743	210,	164,64	
7	5,1e-002	24,743	207,14	131,75	
8	6,7667e-002	24,743	205,9	124,58	
9	7,8277e-002	24,743	204,96	120,81	
10	8,8888e-002	24,743	203,85	117,55	
11	0,11063	24,743	200,82	112,18	
12	0,14161	24,743	195,08	106,13	
13	0,17755	24,743	187,02	100,51	
14	0,22335	24,743	175,6	94,928	
15	0,28759	24,743	159,55	89,16	
16	0,36341	24,743	142,47	84,281	
17	0,44827	24,743	126,57	80,437	
18	0,55033	24,743	111,98	77,326	
19	0,68407	24,743	98,95	74,805	
20	0,88028	24,743	87,997	72,841	
21	1,1803	24,743	80,377	71,551	
22	1,4803	24,743	76,957	70,994	
23	1,7803	24,743	75,477	70,753	
24	2,0803	24,743	75,	70,648	
25	2,3803	24,743	75,	70,603	
26	2,6803	24,743	75,	70,583	
27	2,9803	24,743	75,	70,574	
28	3,2803	24,743	75,	70,57	
29	3,5803	24,743	75,	70,569	
30	3,8803	24,743	75,	70,568	
31	4,1803	24,743	75,	70,568	
32	4,4803	24,743	75,	70,568	
33	4,7803	24,743	75,	70,568	
34	5,0803	24,743	75,	70,568	
35	5,3803	24,743	75,	70,568	
36	5,6803	24,743	75,	70,568	
37	5,8406	24,743	75,	70,568	
38	6,001	24,743	75,	70,568	
39	6,0011	63,001	210,	125,78	
40	6,0012	63,001	210,	125,8	
41	6,0015	63,001	210,	125,83	
42	6,002	63,001	210,	125,88	
43	6,003	63,001	210,	125,89	
44	6,004	63,001	210,01	125,89	
45	6,007	63,001	210,04	125,88	
46	6,012	63,001	210,06	125,83	
47	6,017	63,001	210,01	125,76	
48	6,022	63,001	209,89	125,66	
49	6,027	63,001	209,69	125,54	
50	6,032	63,001	209,41	125,4	
51	6,037	63,001	209,12	125,25	
52	6,042	63,001	208,88	125,07	
53	6,047	63,001	208,6	124,88	
54	6,052	63,001	208,3	124,68	
55	6,057	63,001	207,96	124,46	
56	6,062	63,001	207,57	124,24	
57	6,067	63,001	207,16	124,	
58	6,072	63,001	206,7	123,76	
59	6,077	63,001	206,21	123,51	
60	6,082	63,001	205,7	123,25	
61	6,087	63,001	205,15	122,99	
62	6,092	63,001	204,57	122,72	
63	6,097	63,001	203,97	122,45	
64	6,1	63,	203,6	122,28	
65	6,15	63,	196,55	119,42	
66	6,2	63,	189,35	116,6	
67	6,2979	63,	176,46	111,57	
68	6,4187	63,	162,73	106,16	
69	6,5646	63,	148,87	100,68	
70	6,7465	63,	134,89	95,208	
71	6,9796	63,	121,05	89,884	
72	7,2796	63,	107,97	85,02	
73	7,5796	63,	98,356	81,567	
74	7,8796	63,	91,293	79,115	
75	8,1796	63,	86,108	77,374	
76	8,4796	63,	82,308	76,137	
77	8,7796	63,	79,525	75,258	
78	9,0796	63,	77,547	74,633	
79	9,3796	63,	76,108	74,189	
80	9,6796	63,	75,069	73,874	
81	9,9796	63,	75,	73,649	
82	10,28	63,	75,	73,49	
83	10,58	63,	75,	73,376	
84	10,88	63,	75,	73,296	
85	11,	63,	75,	73,268	
86	11,001	63,	75,	73,268	
87	11,002	63,	75,	73,267	
88	11,005	63,	75,	73,267	
89	11,01	63,	75,	73,266	
90	11,015	63,	75,	73,264	
91	11,02	63,	75,	73,263	
92	11,025	63,	75,	73,262	
93	11,03	63,	75,	73,261	
94	11,035	63,	75,	73,26	
95	11,04	63,	75,	73,259	
96	11,045	63,	75,	73,258	
97	11,05	63,	75,	73,257	
98	11,055	63,	75,	73,256	
99	11,06	63,	75,	73,255	
100	11,065	63,	75,	73,253	
101	11,07	63,	75,	73,252	
102	11,075	63,	75,	73,251	
103	11,08	63,	75,	73,25	
104	11,085	63,	75,	73,249	
105	11,09	63,	75,	73,248	
106	11,095	63,	75,	73,247	
107	11,1	63,	75,	73,246	
108	11,105	63,	75,	73,245	
109	11,11	63,	75,	73,244	
110	11,115	63,	75,	73,243	
111	11,12	63,	75,	73,242	
112	11,125	63,	75,	73,241	
113	11,13	63,	75,	73,24	
114	11,135	63,	75,	73,239	
115	11,14	63,	75,	73,238	
116	11,145	63,	75,	73,237	
117	11,15	63,	75,	73,237	
118	11,155	63,	75,	73,236	
119	11,16	63,	75,	73,235	
120	11,165	63,	75,	73,234	
121	11,17	63,	75,	73,233	
122	11,175	63,	75,	73,232	
123	11,18	63,	75,	73,231	
124	11,185	63,	75,	73,23	
125	11,19	63,	75,	73,229	
126	11,195	63,	75,	73,228	
127	11,2	63,	75,	73,227	
128	11,205	63,	75,	73,227	
129	11,21	63,	75,	73,226	
130	11,215	63,	75,	73,225	
131	11,22	63,	75,	73,224	
132	11,225	63,	75,	73,223	
133	11,23	63,	75,	73,222	
134	11,235	63,	75,	73,221	
135	11,24	63,	75,	73,221	
136	11,245	63,	75,	73,22	
137	11,25	63,	75,	73,219	
138	11,255	63,	75,	73,218	
139	11,26	63,	75,	73,217	
140	11,265	63,	75,	73,216	
141	11,27	63,	75,	73,216	
142	11,275	63,	75,	73,215	
143	11,28	63,	75,	73,214	
144	11,285	63,	75,	73,213	
145	11,29	63,	75,	73,212	
146	11,295	63,	75,	73,212	
147	11,3	63,	75,	73,211	
148	11,305	63,	75,	73,21	
149	11,31	63,	75,	73,209	
150	11,315	63,	75,	73,209	
151	11,32	63,	75,	73,208	
152	11,325	63,	75,	73,207	
153	11,33	63,	75,	73,206	
154	11,335	63,	75,	73,206	
155	11,34	63,	75,	73,205	
156	11,345	63,	75,	73,204	
157	11,35	63,	75,	73,203	
158	11,355	63,	75,	73,203	
159	11,36	63,	75,	73,202	
160	11,365	63,	75,	73,201	
