	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
161	11,37	63,	75,	73,201	
162	11,375	63,	75,	73,2	
163	11,38	63,	75,	73,199	
164	11,385	63,	75,	73,199	
165	11,39	63,	75,	73,198	
166	11,395	63,	75,	73,197	
167	11,4	63,	75,	73,197	
168	11,405	63,	75,	73,196	
169	11,41	63,	75,	73,195	
170	11,415	63,	75,	73,195	
171	11,42	63,	75,	73,194	
172	11,425	63,	75,	73,193	
173	11,43	63,	75,	73,193	
174	11,435	63,	75,	73,192	
175	11,44	63,	75,	73,191	
176	11,445	63,	75,	73,191	
177	11,45	63,	75,	73,19	
178	11,455	63,	75,	73,189	
179	11,46	63,	75,	73,189	
180	11,465	63,	75,	73,188	
181	11,47	63,	75,	73,188	
182	11,475	63,	75,	73,187	
183	11,48	63,	75,	73,186	
184	11,485	63,	75,	73,186	
185	11,49	63,	75,	73,185	
186	11,495	63,	75,	73,185	
187	11,5	63,	75,	73,184	
188	11,505	63,	75,	73,183	
189	11,51	63,	75,	73,183	
190	11,515	63,	75,	73,182	
191	11,52	63,	75,	73,182	
192	11,525	63,	75,	73,181	
193	11,53	63,	75,	73,181	
194	11,535	63,	75,	73,18	
195	11,54	63,	75,	73,179	
196	11,545	63,	75,	73,179	
197	11,55	63,	75,	73,178	
198	11,555	63,	75,	73,178	
199	11,56	63,	75,	73,177	
200	11,565	63,	75,	73,177	
201	11,57	63,	75,	73,176	
202	11,575	63,	75,	73,176	
203	11,58	63,	75,	73,175	
204	11,585	63,	75,	73,175	
205	11,59	63,	75,	73,174	
206	11,595	63,	75,	73,173	
207	11,6	63,	75,	73,173	
208	11,605	63,	75,	73,172	
209	11,61	63,	75,	73,172	
210	11,615	63,	75,	73,171	
211	11,62	63,	75,	73,171	
212	11,625	63,	75,	73,17	
213	11,63	63,	75,	73,17	
214	11,635	63,	75,	73,169	
215	11,64	63,	75,	73,169	
216	11,645	63,	75,	73,168	
217	11,65	63,	75,	73,168	
218	11,655	63,	75,	73,168	
219	11,66	63,	75,	73,167	
220	11,665	63,	75,	73,167	
221	11,67	63,	75,	73,166	
222	11,675	63,	75,	73,166	
223	11,68	63,	75,	73,165	
224	11,685	63,	75,	73,165	
225	11,69	63,	75,	73,164	
226	11,695	63,	75,	73,164	
227	11,7	63,	75,	73,163	
228	11,705	63,	75,	73,163	
229	11,71	63,	75,	73,162	
230	11,715	63,	75,	73,162	
231	11,72	63,	75,	73,162	
232	11,725	63,	75,	73,161	
233	11,73	63,	75,	73,161	
234	11,735	63,	75,	73,16	
235	11,74	63,	75,	73,16	
236	11,745	63,	75,	73,159	
237	11,75	63,	75,	73,159	
238	11,755	63,	75,	73,159	
239	11,76	63,	75,	73,158	
240	11,765	63,	75,	73,158	
241	11,77	63,	75,	73,157	
242	11,775	63,	75,	73,157	
243	11,78	63,	75,	73,157	
244	11,785	63,	75,	73,156	
245	11,79	63,	75,	73,156	
246	11,795	63,	75,	73,155	
247	11,8	63,	75,	73,155	
248	11,805	63,	75,	73,155	
249	11,81	63,	75,	73,154	
250	11,815	63,	75,	73,154	
251	11,82	63,	75,	73,153	
252	11,825	63,	75,	73,153	
253	11,83	63,	75,	73,153	
254	11,835	63,	75,	73,152	
255	11,84	63,	75,	73,152	
256	11,845	63,	75,	73,152	
257	11,85	63,	75,	73,151	
258	11,855	63,	75,	73,151	
259	11,86	63,	75,	73,15	
260	11,865	63,	75,	73,15	
261	11,87	63,	75,	73,15	
262	11,875	63,	75,	73,149	
263	11,88	63,	75,	73,149	
264	11,885	63,	75,	73,149	
265	11,89	63,	75,	73,148	
266	11,895	63,	75,	73,148	
267	11,9	63,	75,	73,148	
268	11,905	63,	75,	73,147	
269	11,91	63,	75,	73,147	
270	11,915	63,	75,	73,147	
271	11,92	63,	83,492	73,467	
272	11,925	63,	90,483	73,753	
273	11,93	63,	95,466	74,015	
274	11,935	63,	99,537	74,257	
275	11,94	63,	102,96	74,484	
276	11,945	63,	105,95	74,698	
277	11,95	63,	108,64	74,901	
278	11,955	63,	111,23	75,095	
279	11,96	63,	113,66	75,281	
280	11,965	63,	115,95	75,46	
281	11,97	63,	118,16	75,632	
282	11,975	63,	120,27	75,799	
283	11,98	63,	122,29	75,962	
284	11,985	63,	124,22	76,119	
285	11,99	63,	126,08	76,273	
286	11,995	63,	127,87	76,423	
287	12,	63,	129,61	76,569	
288	12,002	63,	130,29	76,627	
289	12,002	67,951	210,	86,072	
290	12,002	67,951	210,	86,078	
291	12,002	67,951	210,	86,09	
292	12,003	67,951	210,	86,091	
293	12,053	67,948	204,48	85,54	
294	12,07	67,947	202,44	85,389	
295	12,086	67,946	200,26	85,254	
296	12,11	67,945	196,96	85,073	
297	12,165	67,942	189,21	84,666	
298	12,245	67,939	178,69	84,076	
299	12,352	67,934	166,25	83,281	
300	12,488	67,93	153,32	82,32	
301	12,664	67,925	140,07	81,172	
302	12,897	67,921	126,87	79,856	
303	13,197	67,917	114,43	78,481	
304	13,497	67,915	104,95	77,376	
305	13,797	67,913	97,539	76,492	
306	14,097	67,912	91,641	75,788	
307	14,397	67,911	86,913	75,226	
308	14,697	67,91	83,107	74,778	
309	14,997	67,909	80,038	74,421	
310	15,297	67,909	77,6	74,137	
311	15,597	67,909	75,848	73,91	
312	15,897	67,908	75,	73,728	
313	16,197	67,642	75,	73,584	
314	16,497	66,977	75,	73,468	
315	16,797	66,451	75,	73,376	
316	17,097	66,033	75,	73,302	
317	17,397	65,702	75,	73,243	
318	17,697	65,439	75,	73,195	
319	17,85	65,32	75,	73,174	
320	18,003	65,216	75,	73,155	
